实体1,关系,实体2
中国,应用于,互联网
美国,应用于,人工智能
智慧物流,应用于,物流
高端纺织机械,应用于,纺织机械行业
中国,应用于,再工业化
中国制造2025,应用于,制造业
我国,应用于,中国制造2025
经济,应用于,融合
智能制造,应用于,经济
双高,应用于,高等职业教育
大数据,应用于,经济
经济,应用于,工业
互联网,应用于,经济
智能制造装备,应用于,纺织机械行业
智能制造装备,应用于,2012年
中国制造2025,应用于,自动化
中国制造2025,应用于,互联网
智能制造,应用于,制造业
智慧物流,应用于,物流与供应链
智能制造,应用于,2011年
再工业化,应用于,2014年
中国,应用于,企业
信息化,应用于,2015年5月8日
中国制造2025,应用于,工业
多agent系统,应用于,agent
知识工程师,应用于,ke
智能制造装备,应用于,应用
中国,应用于,2017年
智慧供应链,应用于,应用
智能制造装备,应用于,高端装备制造业
数控一代机械产品,应用于,高端装备制造业
应用,应用于,关于积极推进供应链创新与应用的指导意见
2015年,应用于,融合
工业,应用于,经济
人工智能,应用于,专家系统
可视化,应用于,应用
中国,应用于,智能制造
人工智能,应用于,经济
美国,应用于,集成
2015年,应用于,工业
应用,应用于,智慧物流
智能制造装备,应用于,高端装备制造产业
信息化,应用于,融合
宜科,应用于,as-1
中国制造2025,应用于,2015年
详细,应用于,物流与供应链
再工业化,应用于,中国
数控一代机械产品,应用于,纺织机械行业
中国,应用于,数据
智能制造装备,应用于,制造业
高端装备制造业,应用于,智能制造装备
人工智能,应用于,智能制造
智能制造,应用于,轨道客车
双高,应用于,高职教育
工业,应用于,物联网
中国,应用于,中国制造2025
中国制造2025,应用于,智能制造
详细,应用于,物流
ims,应用于,agent
中国制造2025,应用于,我国
双高,应用于,职业教育
中国制造2025,应用于,汽车
服务,关注执行,工业生产
山崎马扎克公司,关注执行,无人机械加工系统
智能化,关注执行,中国制造2025
工业互联网,关注执行,互联网
我国,关注执行,双高
智能化,关注执行,智能制造
吉林,关注执行,智能制造
中国,关注执行,智能制造
企业,关注执行,智能制造
阿斯莫微电机有限公司,关注执行,智能制造
日本,关注执行,自动化设备
服务,关注执行,中国制造2025
政府,关注执行,智能制造
舟山衢鑫滤清器公司,关注执行,新一代汽油滤清器
中国制造2025,关注执行,智能制造
长春职业技术学院,关注执行,数控技术
2017年,关注执行,智能制造
服务,关注执行,信息化
长春工业大学,关注执行,智能制造
日本,关注执行,智能装备
长春职业技术学院,关注执行,机械制造与自动化
集成,关注执行,钢铁
协作,关注执行,智能制造
长春市,关注执行,轨道交通装备
服务,关注执行,智能制造
融合,关注执行,制造业
中车长客股份,关注执行,智能制造
信息技术,关注执行,企业
数字孪生,关注执行,工业
西门子,关注执行,cam+虚拟机床
吉林,关注执行,吉林省高水平现代化高职院校和高水平特色专业群
中国,关注执行,海洋油气生产装备
发努科,关注执行,智能制造
自动化,关注执行,中国制造2025
日本,关注执行,自动化生产线
中国制造2025,关注执行,智能产品
互联,关注执行,智能制造
吉林,关注执行,中国制造2025
高端装备制造业,关注执行,制造业
浙江,关注执行,智能印染装备
本田技术研究公司,关注执行,机器人
英国,关注执行,智能制造
长春职业技术学院,关注执行,智能制造
天龙工场(yazaki)燃气仪表制造公司,关注执行,自动化生产线
西门子,关注执行,智能制造
高端装备制造业,关注执行,智能制造
日本,关注执行,新机械企业化
浙江,关注执行,智能装备硬件
一汽解放,关注执行,智能制造
海尔集团,关注执行,智能制造
浙江,关注执行,智能制造
浙江,关注执行,智能软件
日本,关注执行,智能制造
信息技术,关注执行,智能制造
日本,关注执行,重型机械开发
长春市,关注执行,汽车装备
发努科,关注执行,机器人
工业,关注执行,智能制造
制造技术,关注执行,智能制造
日本,关注执行,智能软件
智能制造装备,关注执行,智能制造
德国,关注执行,智能制造
我国,关注执行,智能制造
日本,关注执行,全自动生产线
中国制造2025,关注执行,智能装备
新一代信息通信技术,关注执行,智能制造
日本,关注执行,智能印染装备
韩国,关注执行,智能制造
美国,关注执行,智能制造
阿斯莫微电机有限公司,关注执行,智能装备
智能产品,关注执行,智能装备
自动化,关注执行,机器人
2011年,关注执行,智能制造装备
日本,关注执行,机器人
信息化,关注执行,企业
制造技术,关注执行,传统制造技术
数字化,关注执行,中国制造2025
吉林,关注执行,双高
万代玩具公司,关注执行,机器人
2015年,关注执行,智能制造
胜多制茶公司,关注执行,智能控制信息系统
钢铁,关注执行,企业
中国,关注执行,先进制造技术
龙头企业,关注执行,智能制造
制造业,关注执行,网络化
通信,关注执行,智能制造
高端装备制造业,学习借鉴,中国制造2025
制造业,学习借鉴,中国
paas,学习借鉴,中国
浙江,学习借鉴,日本
日本,学习借鉴,德国
智能技术,学习借鉴,韩国
abb,学习借鉴,中国
美国,学习借鉴,韩国
智能制造,学习借鉴,韩国
智能制造,学习借鉴,中国
法国,学习借鉴,德国
德国,学习借鉴,日本
英国,学习借鉴,美国
电子和光学产品,学习借鉴,韩国
日本,学习借鉴,中国
德国,学习借鉴,中国
德国,学习借鉴,韩国
美国,学习借鉴,中国
德国,学习借鉴,英国
智能制造,学习借鉴,英国
saas,学习借鉴,中国
智慧工厂,学习借鉴,德国
中国,学习借鉴,中国制造2025
美国,学习借鉴,德国
工业4.0,学习借鉴,德国
中国,学习借鉴,德国
企业,学习借鉴,中国
信息化技术,区别于,先进制造技术
无人机械加工系统,区别于,传统机械加工
企业,基础来源,智能工厂
智能制造,基础来源,海量
分布式,基础来源,智能制造
智能制造,基础来源,数据
工业互联网,基础来源,智能制造
开放式,基础来源,智能制造
制造业,基础来源,集成
智能软件,基础来源,高端农机
数控技术,基础来源,先进制造技术
数字化设计,基础来源,智能制造
日本,基础来源,胜多制茶公司
智能制造,基础来源,智能装备硬件
企业,基础来源,经济
先进制造技术,基础来源,智能制造
数控技术,基础来源,智能制造
智能制造,基础来源,准确
手动面板控制,基础来源,智能制造
智能制造,基础来源,物联网
制造系统,基础来源,智能制造
日本,基础来源,川崎制茶设备制造公司
智能制造,基础来源,轨道交通装备
智能化,基础来源,智能制造
企业,基础来源,智能生产
2012年,基础来源,智能制造装备
信息技术,基础来源,大数据
智能工厂,基础来源,petri网
智能制造,基础来源,动力电池
企业,基础来源,智能制造
信息技术,基础来源,智能制造装备
英国,基础来源,政府
智能产品,基础来源,信息化
智能装备硬件,基础来源,高端农机
先进制造技术,基础来源,智能制造装备
企业,基础来源,大数据
电脑编程控制,基础来源,智能制造
计算机,基础来源,智能制造
服务器,基础来源,数据
人工智能技术,基础来源,智能制造
智能制造,基础来源,信息化
日本,基础来源,胜多茶业
中国,基础来源,互联网
吉林,基础来源,省教育厅
机械制造与自动化,基础来源,智能制造
自组织,基础来源,智能制造
服务,基础来源,智能制造
数据,基础来源,全生命周期
移动互联网,基础来源,智能制造
社会,基础来源,智能制造
智能软件,基础来源,智能印染装备
智能制造,基础来源,产品结构设计
机器人,基础来源,云服务
美国,基础来源,龙头企业
硬件,基础来源,集成
智能制造,基础来源,3d打印
智能装备硬件,基础来源,智能印染装备
制造技术,基础来源,制造业
集成化,基础来源,智能制造
智能制造,基础来源,智能制造系统
智能制造,基础来源,数字化设计
日本,基础来源,本田技术研究公司
数字技术,基础来源,智能制造
吉林,基础来源,长春职业技术学院
智能制造,基础来源,中国制造2025
服务,基础来源,智能产品
智能制造,基础来源,智能软件
人工智能,基础来源,工业
智能制造,基础来源,智能模具
智能制造系统,基础来源,开放式
自动化,基础来源,智慧化
数据,基础来源,智能生产
机器人,基础来源,电气系统
先进制造技术,基础来源,数控加工
机器人,基础来源,智能制造系统
信息化,基础来源,智能制造
集成,基础来源,高效集成
个性化,基础来源,深度融合
信息技术,基础来源,智能制造
自动化,基础来源,制造业
德国,基础来源,龙头企业
工业,基础来源,智能制造
智能制造装备,基础来源,工业
制造技术,基础来源,智能制造
智能制造装备,基础来源,智能制造
日本,基础来源,万代玩具公司
工业化,基础来源,智能产品
机器视觉,基础来源,运动控制
区块链,基础来源,大数据
智能技术,基础来源,智能制造装备
智能制造,基础来源,数字孪生
智能制造,基础来源,全自动生产线
智能制造,基础来源,多轴精密加工
大数据,基础来源,全生命周期
机械设计与制造,基础来源,智能成型技术
日本,基础来源,阿斯莫微电机有限公司
智能制造,基础来源,我国
企业,基础来源,高效集成
智能化,基础来源,ims
知识产权服务,基础来源,智能制造
机械设计与制造,基础来源,先进制造技术
先进制造技术,基础来源,cad/cam
智能制造,基础来源,制造业
企业,基础来源,cad/cam
先进制造技术,基础来源,现代电气
制造技术,基础来源,ims
智能制造装备,基础来源,信息化
机械设计与制造,基础来源,智能制造
日本,基础来源,fanuc公司
制造技术,基础来源,智能制造装备
智能制造装备,基础来源,高端装备制造业
自动,基础来源,智能制造系统
智慧物流,基础来源,应用
日本,基础来源,天龙工场(yazaki)燃气仪表制造公司
智能制造,基础来源,高端农机
智能制造,基础来源,智能印染装备
智能制造,基础来源,工业化
智能化,基础来源,企业
智能生产,基础来源,物流
互联网,基础来源,智能制造
互联网,基础来源,物联网
智能制造,基础来源,模塑产品成型设计
智能制造,基础来源,钢铁
集成化,基础来源,智能制造系统
智能制造,基础来源,5g
企业,基础来源,协作
工业设计,基础来源,智能制造
阿斯莫微电机有限公司,事件地点,杭州萧山
全自动不锈钢制茶成套装备,事件时间,1988年
日本,事件时间,1958年
高技术,事件时间,2014年
我国,事件时间,2012年
人工智能,事件时间,2017年
山崎马扎克公司,事件时间,2002年
2015年,事件时间,2018年
2017年,事件时间,2015年
人工智能技术,事件时间,2017年
国产技术企业化,事件时间,1970年
阿斯莫微电机有限公司,事件时间,2012年8月
新机械企业化,事件时间,1968年
工业4.0,事件时间,2015年
德国,事件时间,2015年
制造技术,事件时间,2011年
工业,事件时间,2015年
重型机械开发,事件时间,1964年
2011年,事件时间,2017年
plc,事件时间,90年代
中国制造2025,事件时间,2015年
日本,事件时间,上世纪60年代
2017年,事件时间,2018年
2017年,事件时间,2012年
ai,事件时间,2017年
2015年,事件时间,2017年
yf005k产品报警器从生产线上掉落了22个,事件时间,2010年1月
政府,事件时间,中国
应用,事件时间,2017年
吉林省高水平现代化高职院校和高水平特色专业群,事件时间,2019年下半年
双高,技术特点,校企合作
